,,,,,,,,,
date,id,type,merchantId,code,title,content,link,linksource,used
20.10,1,Tất cả sản phẩm,#N/A,Nhiều mã,Giới thiệu sản phẩm,"Gia đình đã mang lại những giá trị gì cho bạn ? Giá trị tinh thần ? Giá trị vật chất ? hay chỉ đơn giản là niềm vui khi về nhà. Ngày nay, đồng hành cùng với sự phát triển không ngừng của thế giới đòi hỏi con người cũng phải không ngừng học hỏi. Vì điều đó, nhiều khi bạn quên đi nhiệm vụ chăm sóc những người thân yêu nhất bên cạnh mình. Trong số các giá trị đạo đức, tâm lý, tình cảm của gia đình, giá trị chung thủy là giá trị rất được coi trọng trong quan hệ hôn nhân và gia đình, được người dân đánh giá cao nhất. Chẳng có gì thay thế được gia đình và cũng không ai có thể chăm sóc bố mẹ tốt hơn bạn. Còn chần chừ gì nữa, cuối tuần này, về nhà nhé.
-----------------------
📍 SHOWROOM TRẢI NGHIỆM:
👉 247 Xã Đàn, Nam Đồng, Đống Đa, Hà Nội
👉 188 Lê Lai, Hà Cầu, Hà Đông, Hà Nội
👉 53 Nguyễn Sỹ Sách, Thành phố Vinh, Nghệ An
👉 499 Lũy Bán Bích, phường Phú Thạnh, quận Tân Phú, TP.HCM
👉 81 Nguyễn Văn Cừ, phường Hồng Hải, TP. Hạ Long, Quảng Ninh",https://drive.google.com/file/d/1THQrEaREou61tlvkdz-ScEFgMYoMTa9s/view?usp=sharing,https://www.facebook.com/hasuta.official/posts/116541360696018,
20.10,2,Sản phẩm nhỏ,1743,HMN- 160,Giới thiệu sản phẩm,"🔆  CHẾ ĐỘ MASSAGE CÓ 102  - ĐÁNH TAN ĐAU MỎI CỔ VAI 🔆
👍🏼 Dân văn phòng ơi, nếu ngồi lâu quá làm cơ vai và cổ của bạn nhức mỏi, tê bì thì hãy thả lỏng cơ thể và sử dụng ngay HMN-160 thôi
👍🏼 Với 3 chế độ massage cực đỉnh: massage xung điện, châm cứu và sưởi nhiệt làm mềm các mô cơ, xoa bóp vào các vùng sâu nhất ở cổ vai gáy. Giúp dân văn phòng có khoảng thời gian nghỉ trưa tuy ngắn ngủi nhưng chất lượng nhất có thể, nạp đủ năng lượng để ""chiến đấu"" đến hết ngày dài
👍🏼 Đừng để cơ thể kêu cứu vì ""hết pin"" mà hãy để Hasuta giúp bạn luôn tràn đầy năng lượng. Rinh ngay HMN-160 thôi, xem thêm tại:
--------------------
#hasuta #giatrithatchatluongNhat #HMN160
HASUTA VIỆT NAM - GIÁ TRỊ THẬT, CHẤT LƯỢNG NHẬT
Hotline: 1900 3295
Website: https://hasuta.com.vn
Youtube Hasuta Việt Nam: https://bit.ly/2WPsJiD
Hệ thống Showroom:
- Hà Nội:
247 Xã Đàn, Nam Đồng, Đống Đa, Hà Nội
188 Lê Lai, Hà Cầu, Hà Đông, Hà Nội.
- Hồ Chí Minh: 499 Lũy Bán Bích, phường Phú Thạnh, quận Tân Phú, TP.HCM.
- Nghệ An:  53 Nguyễn Sỹ Sách, Thành phố Vinh, Nghệ An.
- Quảng Ninh: 81 Nguyễn Văn Cừ, Hồng Hải, Thành phố Hạ Long, Quảng Ninh.
- Sơn La: Số 387/389, Đường Chu Văn Thịnh, TP Sơn La
- Hải Dương: Thị trấn Lai Cách - Cẩm Giàng - Hải Dương",https://drive.google.com/file/d/158ydeDZTM01jDO6baFuZcjIVl-_NRkJM/view?usp=sharing,https://www.facebook.com/hasuta.official/posts/144695587880595,
20.10,3,Ghế massage,1593,HMC- 380,Giới thiệu sản phẩm,"❗ CHIẾN THẮNG NỖI LO HUYẾT ÁP CAO CÙNG HASUTA ❗
🔥 Để phòng ngừa các biến chứng do huyết áp cao gây nên như đột quỵ - ""sát thủ ngầm"" mà những người lớn tuổi dễ gặp phải. Vậy nên ở đây chúng ta có 5 cách điều hòa huyết áp phòng tránh những tình huống xấu xảy đến.
🔥 Hãy trang bị những kiến thức sức khỏe cùng Hasuta để cuộc sống bạn luôn hạnh phúc và khỏe khoắn. Rinh ngay HMC- 380 về nhà để nỗi lo huyết áp cao chỉ còn là vấn đề nhỏ. Xem thêm tại: https://hasuta.com.vn/hang-pho-thong/
 --------------------
#hasuta #giatrithatchatluongNhat #HMC380
HASUTA VIỆT NAM - GIÁ TRỊ THẬT, CHẤT LƯỢNG NHẬT
Hotline: 1900 3295
Website: https://hasuta.com.vn
Youtube Hasuta Việt Nam: https://bit.ly/2WPsJiD
Hệ thống Showroom:
- Hà Nội:
247 Xã Đàn, Nam Đồng, Đống Đa, Hà Nội
188 Lê Lai, Hà Cầu, Hà Đông, Hà Nội.
- Hồ Chí Minh: 499 Lũy Bán Bích, phường Phú Thạnh, quận Tân Phú, TP.HCM.
- Nghệ An:  53 Nguyễn Sỹ Sách, Thành phố Vinh, Nghệ An.
- Quảng Ninh: 81 Nguyễn Văn Cừ, Hồng Hải, Thành phố Hạ Long, Quảng Ninh.
- Sơn La: Số 387/389, Đường Chu Văn Thịnh, TP Sơn La
- Hải Dương: Thị trấn Lai Cách - Cẩm Giàng - Hải Dương
",https://drive.google.com/drive/folders/1WczahkzlKWDOwytBfLdnHZb6JG5q_Y3I?usp=sharing,https://www.facebook.com/hasuta.official/posts/144419727908181,
20.10,4,Ghế massage,1868,HMC- 939 VENUS,Giới thiệu sản phẩm,"💤 NGỦ SAY GIẤC NỒNG CÙNG CHẾ ĐỘ RU NGỦ ĐỘC QUYỀN 💤
🥰 Trằn trọc cả đêm khuyến tinh thần và tâm trạng ngày hôm sau của bạn mơ hồ và uể oải. Với chức năng sưởi ấm và không trọng lực 125 độ, làm ấm cơ thể giúp tuần hoàn máu, lưu thông dễ dàng. Cùng chế độ đung đưa ru ngủ độc quyền của HMC-393, giúp người dùng cái trải nghiệm thư thái, đung đưa nhẹ nhàng và chức năng kết nối Bluetooth nghe nhạc thư giãn tuyệt đối.
🥰 Rinh ngay HMC-939 để giấc ngủ ngon không còn là xa vời, xem thêm tại: https://hasuta.com.vn/ghe-massage-hmc-393/
 --------------------
#hasuta #giatrithatchatluongNhat #HMC393
HASUTA VIỆT NAM - GIÁ TRỊ THẬT, CHẤT LƯỢNG NHẬT
Hotline: 1900 3295
Website: https://hasuta.com.vn
Youtube Hasuta Việt Nam: https://bit.ly/2WPsJiD
Hệ thống Showroom:
- Hà Nội:
247 Xã Đàn, Nam Đồng, Đống Đa, Hà Nội
188 Lê Lai, Hà Cầu, Hà Đông, Hà Nội.
- Hồ Chí Minh: 499 Lũy Bán Bích, phường Phú Thạnh, quận Tân Phú, TP.HCM.
- Nghệ An:  53 Nguyễn Sỹ Sách, Thành phố Vinh, Nghệ An.
- Quảng Ninh: 81 Nguyễn Văn Cừ, Hồng Hải, Thành phố Hạ Long, Quảng Ninh.
- Sơn La: Số 387/389, Đường Chu Văn Thịnh, TP Sơn La
- Hải Dương: Thị trấn Lai Cách - Cẩm Giàng - Hải Dương",https://drive.google.com/file/d/1Amo2BZY-kOV21Pxw6vDp-UHJ23GbVt07/view?usp=sharing,https://www.facebook.com/hasuta.official/posts/143926964624124,
20.10,5,Tất cả sản phẩm,1707,HMC- 820,Giới thiệu sản phẩm,"🎁 NẮM LẤY HẠNH PHÚC 🎁
✨   ""Mẹ anh là người hay làm, dù anh có bảo bà cứ để đó có con có cháu làm cho ,nhưng mẹ anh thương mọi người đi học, đi làm vất vả nên cứ vẫn luôn luôn tay vậy đấy. Anh thấy từ ngày mẹ bắt đầu có những dấu hiệu mỏi khi đứng hay khó ngủ ban đêm là anh đã quyết định sắm một chiếc máy hỗ trợ xoa bóp cho mẹ, thật may là anh đã tìm thấy chiếc này""  anh Hòa chia sẻ với Hasuta. 🥰
✨ Yêu thương vĩ đại lắm. Vì yêu thương nên bạn cảm thấy chia sẻ việc nhà với vợ thật đơn giản, vì yêu thương nên bạn cảm thấy chăm sóc bố mẹ thật hạnh phúc. Vậy nên khi Yêu thương đong đầy thì Việc gì cũng dễ như ""trở lòng bàn tay""
🎁 Có nhiều cách thể hiện sự biết ơn với đấng sinh thành, có thể là qua lời nói hoặc qua hành động nhưng điều đó phải được xuất phát từ trong tâm của bạn. Hôm nay trời thu se lạnh, hãy làm ""ấm"" không khí gia đình bằng lời ngọt ngào, bằng món quà sức khỏe bạn nhé!
Xem thêm các dòng tại: https://hasuta.com.vn/
 --------------------
#hasuta #giatrithatchatluongNhat #HMC
HASUTA VIỆT NAM - GIÁ TRỊ THẬT, CHẤT LƯỢNG NHẬT
Hotline: 1900 3295
Website: https://hasuta.com.vn
Youtube Hasuta Việt Nam: https://bit.ly/2WPsJiD
Hệ thống Showroom:
- Hà Nội:
247 Xã Đàn, Nam Đồng, Đống Đa, Hà Nội
188 Lê Lai, Hà Cầu, Hà Đông, Hà Nội.
- Hồ Chí Minh: 499 Lũy Bán Bích, phường Phú Thạnh, quận Tân Phú, TP.HCM.
- Nghệ An:  53 Nguyễn Sỹ Sách, Thành phố Vinh, Nghệ An.
- Quảng Ninh: 81 Nguyễn Văn Cừ, Hồng Hải, Thành phố Hạ Long, Quảng Ninh.
- Sơn La: Số 387/389, Đường Chu Văn Thịnh, TP Sơn La
- Hải Dương: Thị trấn Lai Cách - Cẩm Giàng - Hải Dương",https://drive.google.com/file/d/1pz8iBrXV5bj_kw_JmHKF2LlXGOtuZ1EB/view?usp=sharing,https://www.facebook.com/hasuta.official/posts/143759164640904,
20.10,6,Ghế massage,#N/A,Nhiều mã,Chương trình khuyến mại,"🎁 ƯU ĐÃI TẬN TAY - NHẬN NGAY KẺO LỠ 🎁
🔻 Nhân ngày 20/11, Hasuta xin gửi tới quý khách hàng những ưu đãi bùng nổ nhất dành cho các dòng ghế massage. Hasuta hân hạnh được là cầu nối, là nơi tạo ra cơ hội để chúng ta thể hiện tình yêu thương với người thầy, cô đáng kính của mình một cách trọn vẹn, ý nghĩa.
🔻 Các dòng cao cấp được ưu đãi với giá ""siêu yêu thương"", mang lại sức khỏe, giải tỏa căng thẳng bằng những con lăn và túi khí di chuyển sâu vào các vùng cơ, làm mềm những bó cơ bị căng cứng, dịu cơn đau nhức và giúp ngủ ngon sâu giấc.
Bằng tấm lòng đong đầy yêu thương, Hasuta xin chúc những bông hồng Việt Nam ngày 20/10 sắp tới ngập tràn hạnh phúc, thành công và luôn rạng rỡ.
🔻 Rinh ngay để ngày 20/10 và mãi về sau nữa sức khỏe của chị em thêm vẹn tròn, xem thêm: https://hasuta.com.vn/
 --------------------
#hasuta #giatrithatchatluongNhat #HMC
HASUTA VIỆT NAM - GIÁ TRỊ THẬT, CHẤT LƯỢNG NHẬT
Hotline: 1900 3295
Website: https://hasuta.com.vn
Youtube Hasuta Việt Nam: https://bit.ly/2WPsJiD
Hệ thống Showroom:
- Hà Nội:
247 Xã Đàn, Nam Đồng, Đống Đa, Hà Nội
188 Lê Lai, Hà Cầu, Hà Đông, Hà Nội.
- Hồ Chí Minh: 499 Lũy Bán Bích, phường Phú Thạnh, quận Tân Phú, TP.HCM.
- Nghệ An:  53 Nguyễn Sỹ Sách, Thành phố Vinh, Nghệ An.
- Quảng Ninh: 81 Nguyễn Văn Cừ, Hồng Hải, Thành phố Hạ Long, Quảng Ninh.
- Sơn La: Số 387/389, Đường Chu Văn Thịnh, TP Sơn La
- Hải Dương: Thị trấn Lai Cách - Cẩm Giàng - Hải Dương
",https://drive.google.com/drive/folders/12_jjKji9fVIK6bm_tQLCyvJBh2nyCNXf?usp=sharing,https://www.facebook.com/hasuta.official/posts/143659861317501,
20.10,7,Sản phẩm nhỏ,1774,HMF- 260,Giới thiệu sản phẩm,"🔥THƯ GIÃN TUYỆT ĐỐI VỚI CHẾ ĐỘ #MASSAGE_ROLLER TRÊN HMF-260 🔥
‼️ Con lăn Roller trên HMF-260 vừa làm rung và cuộn bi vào gang lòng bàn chân,  đầu ngón bi xoay tròn 360 chỉ có ở các dòng massage cao cấp.
‼️ Bằng cách ấn huyệt và tác động đến dòng năng lượng bên trong cơ thể, cải thiện sự phối hợp và “sửa chữa” những bất hòa của những mô cơ đang bị căng cứng, làm mềm và dịu cơn nhức nhanh chóng.
‼️ HMF-260 được mệnh danh là ""cỗ máy vàng trong làng massage"" của nhà Hasuta với doanh số bán ra cực khủng. Hãy để Hasuta giúp đôi bạn luôn nhẹ nhàng và ""bay bổng"". Xem thêm tại: https://hasuta.com.vn/ghe-massage-chan-hmf-260/
--------------------
#hasuta #giatrithatchatluongNhat #HMF260
HASUTA VIỆT NAM - GIÁ TRỊ THẬT, CHẤT LƯỢNG NHẬT
Hotline: 1900 3295
Website: https://hasuta.com.vn
Youtube Hasuta Việt Nam: https://bit.ly/2WPsJiD
Hệ thống Showroom:
- Hà Nội:
247 Xã Đàn, Nam Đồng, Đống Đa, Hà Nội
188 Lê Lai, Hà Cầu, Hà Đông, Hà Nội.
- Hồ Chí Minh: 499 Lũy Bán Bích, phường Phú Thạnh, quận Tân Phú, TP.HCM.
- Nghệ An:  53 Nguyễn Sỹ Sách, Thành phố Vinh, Nghệ An.
- Quảng Ninh: 81 Nguyễn Văn Cừ, Hồng Hải, Thành phố Hạ Long, Quảng Ninh.
- Sơn La: Số 387/389, Đường Chu Văn Thịnh, TP Sơn La
- Hải Dương: Thị trấn Lai Cách - Cẩm Giàng - Hải Dương
",https://drive.google.com/file/d/1xiKIDG_xOICGMgbJjmWeB-IdsEZQAY_x/view?usp=sharing,https://www.facebook.com/hasuta.official/posts/143346238015530,
20.10,8,Tất cả sản phẩm,#N/A,Nhiều mã,Giới thiệu sản phẩm,"❗ CẤP BÁO: ""KHÔ KHỚP"" ĐANG TẤN CÔNG BẠN ❗
🔻 Đây là đài tiếng nói Hasuta, nếu như bạn đang gặp phải 3 dấu hiệu như bên dưới thì hãy chú ý đến vấn đề xương khớp của cơ thể ngay lập tức.
🔻 Khô khớp là tình trạng tiêu giảm tiết dịch nhầy bôi trơn khớp làm tăng ma sát sụn khớp khiến người bệnh luôn cảm thấy đau nhức và khó khăn khi di chuyển. Tình trạng này thường gặp ở khớp gối, tuy nhiên cũng có thể xuất phát từ khớp khuỷu tay, khớp cổ, khớp vai,…. Khô khớp ảnh hưởng không nhỏ đến đời sống sinh hoạt và sức khỏe của bạn nếu về lâu về dài. Vì càng có tuổi xương khớp càng trở nên yếu kém.
Ngoài phải cung cấp các thực phẩm chứa nhiều canxi, khi các khớp bị căng cứng cho thấy bạn cần được thư giãn và massage để làm dịu cơn đau mỏi và làm mềm các mô cơ.
🔻 Sức khỏe là vàng, vậy nên rinh ngay một chiếc xoa bóp giúp tình trạng khô khớp được cải thiện tích cực, có sức khỏe là có tất cả: https://hasuta.com.vn/
--------------------
#hasuta #giatrithatchatluongNhat
HASUTA VIỆT NAM - GIÁ TRỊ THẬT, CHẤT LƯỢNG NHẬT
Hotline: 1900 3295
Website: https://hasuta.com.vn
Youtube Hasuta Việt Nam: https://bit.ly/2WPsJiD
Hệ thống Showroom:
- Hà Nội:
247 Xã Đàn, Nam Đồng, Đống Đa, Hà Nội
188 Lê Lai, Hà Cầu, Hà Đông, Hà Nội.
- Hồ Chí Minh: 499 Lũy Bán Bích, phường Phú Thạnh, quận Tân Phú, TP.HCM.
- Nghệ An:  53 Nguyễn Sỹ Sách, Thành phố Vinh, Nghệ An.
- Quảng Ninh: 81 Nguyễn Văn Cừ, Hồng Hải, Thành phố Hạ Long, Quảng Ninh.
- Sơn La: Số 387/389, Đường Chu Văn Thịnh, TP Sơn La
- Hải Dương: Thị trấn Lai Cách - Cẩm Giàng - Hải Dương",https://drive.google.com/file/d/10mfcmcWeZCU9L0rlSyKhfN6O_WD6GvfE/view?usp=sharing,https://www.facebook.com/hasuta.official/posts/143072084709612,
20.10,9,Máy chạy và xe đạp,1876,HTM- 509,Giới thiệu sản phẩm,"💦ĐỪNG SỢ CHẠY BỘ MÀ HÃY ""CHẠY NGAY"" 💦
🔻 Kết quả của việc giãn cách là để lại những ngấn mỡ núng nính, vì công việc hằng ngày chỉ đi từ phòng ngủ ra phòng bếp nên từ một thân hình ""thon ghê"" nay chỉ còn thấy...""ghê""
Nhưng may quá, còn có một cách lấy lại vóc dáng đó là vận động cơ thể tạo ra mồ hôi - ""dòng chảy"" tự nhiên giúp cơ thể đào thải độc tố, săn chắc gọn gàng và cải thiện tinh thần. Luôn vui vẻ yêu đời, cơ thể khỏe mạnh, ăn được ngủ được, vậy chẳng phải là ""tiên"" thì còn là gì nữaa!!
🔻 Tậu ngay một em máy chạy HTM-509 để không cần lo lắng về lượng calo trong mỗi bữa ăn, xem thêm tại: https://hasuta.com.vn/may-chay-bo-tai-nha-htm-509/
--------------------
#hasuta #giatrithatchatluongNhat #HTM509
HASUTA VIỆT NAM - GIÁ TRỊ THẬT, CHẤT LƯỢNG NHẬT
Hotline: 1900 3295
Website: https://hasuta.com.vn
Youtube Hasuta Việt Nam: https://bit.ly/2WPsJiD
Hệ thống Showroom:
- Hà Nội:
247 Xã Đàn, Nam Đồng, Đống Đa, Hà Nội
188 Lê Lai, Hà Cầu, Hà Đông, Hà Nội.
- Hồ Chí Minh: 499 Lũy Bán Bích, phường Phú Thạnh, quận Tân Phú, TP.HCM.
- Nghệ An:  53 Nguyễn Sỹ Sách, Thành phố Vinh, Nghệ An.
- Quảng Ninh: 81 Nguyễn Văn Cừ, Hồng Hải, Thành phố Hạ Long, Quảng Ninh.
- Sơn La: Số 387/389, Đường Chu Văn Thịnh, TP Sơn La
- Hải Dương: Thị trấn Lai Cách - Cẩm Giàng - Hải Dương",https://drive.google.com/file/d/1Z8dOL5tw4YfNwM73Y8UcY6RvVz7xeLeh/view?usp=sharing,https://www.facebook.com/hasuta.official/posts/143054861378001,
20.10,10,Ghế massage,#N/A,HMC- 936,Giới thiệu sản phẩm,"🎁 ĐẦU TƯ ĐÚNG ĐẮN - SỨC KHỎE CỨNG RẮN 🎁
🔻 Thời điểm dịch bệnh cho con người thấy rõ hơn một điều rằng sức khỏe vốn đã quan trọng nay còn quan trọng hơn gấp nhìn lần. toàn thân HMC-936 Venus được xem là hướng ""đầu tư"" vô cùng hợp lí nhờ đem lại lợi ích cụ thể cho các tất cả thành viên trong gia đình:

🔹 Lời sức khỏe: cùng mật độ túi khí massage nhiều gấp bội được đặt cố định tại các vị trí cơ thể như: Đầu, gáy, bả vai, bắp tay, bắp đùi, bắp chân, hông giúp cải thiện và tăng cường lưu thông tuần hoàn máu.

🔹 Lời tinh thần: Thêm vào đó chế độ massage không trọng lực kết hợp với sưởi nhiệt hồng ngoại có sẽ cho bạn cảm giác ở trạng thái lơ lửng, giảm tối đa căng thẳng và stress sau một ngày làm việc mệt mỏi. Cộng thêm chức năng sưởi nhiệt hồng ngoại tiên tiến lên đến 40 độ C sẽ làm tăng hiệu quả massage gấp nhiều lần. Giúp người dùng giải tỏa căng thăng tuyệt đối, thư giãn tối đa, tinh thần thoải mái.

🔹 Lời giấc ngủ ngon: cơ thể đau nhức làm bạn không có một giấc ngủ trọn vẹn. Chỉ ngủ được chập chờn hoặc không thể sâu giấc, dẫn đến tinh thần hôm sau mệt mỏi, chán nản. Khi có HMC-936 Venus, công nghệ Massage với con lăn 8D hệ thống con lăn chuyển động quay di chuyển theo các hướng: trên/ dưới, trái/ phải, trong/ ngoài, phía trước/ phía trên giúp bạn có một trải nghiệm massage thực và sâu nhất, tác động tới những điểm huyệt sâu nhất, khó tìm nhất trên cơ thể mà khó có một chiếc nào trên thị trường có thể làm được.
🔻 Và còn nhiều tính năng tuyệt vời của máy giúp bạn chăm sóc sức khỏe gia đình một cách tối đa nhất đang chờ bạn khám phá, rước ngay HMC-936 tại: https://hasuta.com.vn/ghe-massage-hmc-936-venus/

--------------------
#hasuta #giatrithatchatluongNhat #HMC936
HASUTA VIỆT NAM - GIÁ TRỊ THẬT, CHẤT LƯỢNG NHẬT
Hotline: 1900 3295
Website: https://hasuta.com.vn
Youtube Hasuta Việt Nam: https://bit.ly/2WPsJiD
Hệ thống Showroom:
- Hà Nội:
247 Xã Đàn, Nam Đồng, Đống Đa, Hà Nội
188 Lê Lai, Hà Cầu, Hà Đông, Hà Nội.
- Hồ Chí Minh: 499 Lũy Bán Bích, phường Phú Thạnh, quận Tân Phú, TP.HCM.
- Nghệ An: 53 Nguyễn Sỹ Sách, Thành phố Vinh, Nghệ An.
- Quảng Ninh: 81 Nguyễn Văn Cừ, Hồng Hải, Thành phố Hạ Long, Quảng Ninh.
- Sơn La: Số 387/389, Đường Chu Văn Thịnh, TP Sơn La
- Hải Dương: Thị trấn Lai Cách - Cẩm Giàng - Hải Dương",https://drive.google.com/file/d/1Rq_Ymtx7McK8YD42Wn0CnxXM2F3qY1Pg/view?usp=sharing,https://www.facebook.com/hasuta.official/posts/142879931395494,
